item,itemImage,itemWeight,weight,co2,label,labelImage,price
Peberfrugt,images/peberfrugt.png,1 stk,0.2,1.07,A,images/label_A.png,"8,00"
Flåede tomater,images/flaaet_tomat.png,400 g,0.4,1.06,A,images/label_A.png,"9,50"
Æg,images/aeg.png,10 stk,0.5,0.97,A,images/label_A.png,"20,00"
Banan,images/banan.png,1 stk,0.1,0.85,A,images/label_A.png,"2,75"
Æbler,images/aeble.png,1 kg,1,0.61,A,images/label_A.png,"25,00"
Letmælk,images/letmaelk.png,1 L,1,0.45,A,images/label_A.png,"15,00"
Kartofler,images/kartoffel.png,1 kg,1,0.41,A,images/label_A.png,"18,00"
Løg,images/loeg.png,1 kg,1,0.27,A,images/label_A.png,"12,00"
Spidskål,images/spidskaal.png,1 stk,0.8,0.29,A,images/label_A.png,"15,00"
Champignon,images/champignon.png,400 g,0.4,0.38,A,images/label_A.png,"19,00"
Cornflakes,images/cornflakes.png,500 g,0.5,2.39,B,images/label_B.png,"25,00"
Hindbærmarmelade,images/hindbaermarmelade.png,380 g,0.38,2.21,B,images/label_B.png,"30,00"
Ketchup,images/ketchup.png,1 kg,1,2.12,B,images/label_B.png,"39,00"
Pasta,images/pasta.png,500 g,0.5,2.05,B,images/label_B.png,"13,95"
Havregryn,images/havregryn.png,1 kg,1,1.94,B,images/label_B.png,"9,50"
Æblejuice,images/aeblejuice.png,850 ml,0.85,1.68,B,images/label_B.png,"18,00"
Ærter,images/aerter.png,700 g,0.7,1.62,B,images/label_B.png,"12,00"
Tortilla,images/tortilla.png,370 g,0.37,1.16,B,images/label_B.png,"18,00"
Salsa,images/salsa.png,250 g,0.25,1.42,B,images/label_B.png,"18,00"
Hytteost,images/hytteost.png,450 g,0.45,1.60,B,images/label_B.png,"27,50"
Pesto,images/pesto.png,190 g,0.19,4.24,C,images/label_C.png,"39,95"
Flødeis,images/floedeis.png,725 ml,0.725,2.71,C,images/label_C.png,"65,95"
Koldrøget laks,images/laks.png,100 g,0.1,2.78,C,images/label_C.png,"39,00"
Myslibar,images/myslibar.png,150 g,0.15,3.01,C,images/label_C.png,"20,00"
Røde linser,images/linser.png,400 g,0.4,3.08,C,images/label_C.png,"24,25"
Tun i vand,images/tun.png,105 g,0.105,4.03,C,images/label_C.png,"12,00"
Landskinke,images/skinke.png,80 g,0.08,4.28,C,images/label_C.png,"17,95"
Chips,images/chips.png,170 g,0.17,4.24,C,images/label_C.png,"20,00"
Peanutbutter,images/peanutbutter.png,250 g,0.25,3.83,C,images/label_C.png,"32,25"
Leverpostej,images/leverpostej.png,400 g,0.4,3.96,C,images/label_C.png,"25,00"
"Forårsruller, okse",images/foraarsruller.png,600 g,0.6,5.36,D,images/label_D.png,"26,00"
Revet mozzarella,images/mozzarella.png,200 g,0.2,5.41,D,images/label_D.png,"19,95"
Ris,images/ris.png,1 kg,1,5.06,D,images/label_D.png,"10,95"
Hakket kyllingekød,images/hakket_kyllingekoed.png,400 g,0.4,5.71,D,images/label_D.png,"37,95"
Olivenolie,images/olivenolie.png,500 ml,0.4,5.89,D,images/label_D.png,"95,00"
Bacon,images/bacon.png,300 g,0.3,6.43,D,images/label_D.png,"36,95"
Mørk chokolade,images/chokolade.png,100 g,0.1,7.86,D,images/label_D.png,"23,95"
Rejer,images/rejer.png,300 g,0.3,8.4,D,images/label_D.png,"49,00"
Danbo ost,images/danbo_ost.png,400 g,0.4,5.41,D,images/label_D.png,"52,00"
Græskarkerner,images/graeskarkerner.png,150 g,0.15,5.69,D,images/label_D.png,"22,00"
Instant kaffe,images/kaffe.png,100 g,0.1,17.28,E,images/label_E.png,"35,00"
Kakaopulver,images/kakaopulver.png,340 g,0.34,17.30,E,images/label_E.png,"34,95"
Cashewnødder,images/cashewnoedder.png,150 g,0.15,12.47,E,images/label_E.png,"20,00"
Biksemad,images/biksemad.png,500 g,0.5,18.91,E,images/label_E.png,"29,00"
Hakket oksekød,images/hakket_oksekoed.png,500 g,0.5,45.47,E,images/label_E.png,"57,50"
Marcipan,images/marcipan.png,200 g,0.2,12.08,E,images/label_E.png,"39,95"
Te,images/te.png,40 g,0.04,16.71,E,images/label_E.png,"13,00"
Lammekebab,images/lammekebab.png,300 g,0.3,36.34,E,images/label_E.png,"29,00"
Kødboller,images/koedboller.png,500 g,0.5,15.79,E,images/label_E.png,"29,00"
Færdiglavet lasagne,images/lasagne.png,1 kg,1,12.16,E,images/label_E.png,"41,95"
